uid,atom_index,atomic_number,element,x,y,z
382,1,6,C,0.0,0.0,0.727056
382,2,6,C,0.0,0.0,-0.727056
382,3,6,C,0.0,1.251206,-1.402227
382,4,6,C,0.0,-1.251206,-1.402227
382,5,6,C,0.0,1.251206,1.402227
382,6,6,C,0.0,-1.251206,1.402227
382,7,6,C,0.0,2.471816,-0.695173
382,8,6,C,0.0,-2.471816,-0.695173
382,9,6,C,0.0,2.471816,0.695173
382,10,6,C,0.0,-2.471816,0.695173
382,11,1,H,0.0,3.414203,-1.244795
382,12,1,H,0.0,-3.414203,-1.244795
382,13,1,H,0.0,3.414203,1.244795
382,14,1,H,0.0,-3.414203,1.244795
382,15,1,H,0.0,1.252157,-2.492796
382,16,1,H,0.0,-1.252157,-2.492796
382,17,1,H,0.0,1.252157,2.492796
382,18,1,H,0.0,-1.252157,2.492796
330,1,6,C,0.0,0.0,0.717038
330,2,6,C,0.0,0.0,-0.717038
330,3,6,C,0.0,1.244792,-1.402729
330,4,6,C,0.0,-1.244792,-1.402729
330,5,6,C,0.0,1.244792,1.402729
330,6,6,C,0.0,-1.244792,1.402729
330,7,6,C,0.0,2.433639,-0.70855
330,8,6,C,0.0,-2.433639,-0.70855
330,9,6,C,0.0,2.433639,0.70855
330,10,6,C,0.0,-2.433639,0.70855
330,11,1,H,0.0,3.378639,-1.245348
330,12,1,H,0.0,-3.378639,-1.245348
330,13,1,H,0.0,3.378639,1.245348
330,14,1,H,0.0,-3.378639,1.245348
330,15,1,H,0.0,1.241961,-2.490506
330,16,1,H,0.0,-1.241961,-2.490506
330,17,1,H,0.0,1.241961,2.490506
330,18,1,H,0.0,-1.241961,2.490506
499,1,6,C,0.0,0.440051,0.0
499,2,6,C,0.455144,-0.917916,0.0
499,3,6,C,-0.493559,-1.977239,0.0
499,4,6,C,-1.840464,-1.700759,0.0
499,5,6,C,-2.305839,-0.364592,0.0
499,6,6,C,-1.407249,0.682384,0.0
499,7,6,C,0.947381,1.496204,0.0
499,8,6,C,2.29768,1.22292,0.0
499,9,6,C,2.755485,-0.116278,0.0
499,10,6,C,1.855439,-1.158397,0.0
499,11,1,H,-3.375516,-0.162454,0.0
499,12,8,O,-1.796689,1.99464,0.0
499,13,1,H,-2.765693,2.031496,0.0
499,14,1,H,-2.565646,-2.510001,0.0
499,15,1,H,-0.137857,-3.004096,0.0
499,16,1,H,0.58869,2.519765,0.0
499,17,1,H,3.016648,2.037729,0.0
499,18,1,H,3.823125,-0.319853,0.0
499,19,1,H,2.205647,-2.187976,0.0
497,1,6,C,0.0,0.691797,0.0
497,2,6,C,-0.809168,-0.492992,0.0
497,3,6,C,-0.159385,-1.754704,0.0
497,4,6,C,1.212916,-1.848679,0.0
497,5,6,C,2.007602,-0.673191,0.0
497,6,6,C,1.411831,0.570925,0.0
497,7,6,C,-0.650638,1.957016,0.0
497,8,6,C,-2.024047,2.045358,0.0
497,9,6,C,-2.821707,0.873728,0.0
497,10,6,C,-2.223925,-0.365959,0.0
497,11,8,O,3.375082,-0.736983,0.0
497,12,1,H,2.03734,1.458715,0.0
497,13,1,H,1.697214,-2.823963,0.0
497,14,1,H,-0.764173,-2.65842,0.0
497,15,1,H,-0.041079,2.857532,0.0
497,16,1,H,-2.504263,3.020407,0.0
